[2024-01-02 19:17:50,950: INFO: main: Welcome to our custom log]
[2024-01-02 19:29:42,326: INFO: main: Welcome to our custom log]
[2024-01-02 19:30:12,130: INFO: main: Welcome to our custom log]
[2024-01-06 18:37:55,205: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 18:37:55,217: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 18:41:52,595: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 18:41:52,605: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 18:41:52,631: INFO: common: created directory at: artifacts]
[2024-01-06 18:41:52,634: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 18:41:52,636: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 18:42:18,959: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 20:00:46,252: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-06 20:00:46,266: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 20:00:46,273: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 20:00:46,275: INFO: common: created directory at: artifacts]
[2024-01-06 20:00:46,277: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-06 20:00:46,278: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 20:01:05,001: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-06 20:01:05,875: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-01-06 23:23:03,530: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-06 23:23:03,574: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-06 23:23:03,578: INFO: common: created directory at: artifacts]
[2024-01-06 23:23:03,582: INFO: common: created directory at: artifacts/prepare_base_model]
[2024-01-06 23:23:30,193: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
